AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,class
39.598757,8.034984,3.12945,5.674226,1.67082,5.410068,1.37052,2.825655,4.579107,4.225643,26.499305,4.855124,5.238032,2.917445,2.427053,18.793322,5.398395,3.578262,13.438973,8.647529,42.611662,7.647533,2.309487,3.706388,2.923451,happy
19.286634,5.391253,3.233506,1.599152,1.905005,13.420528,8.135366,2.588943,2.530094,5.456749,146.365982,90.962737,51.794378,7.788342,4.103805,32.304344,10.515818,2.574186,2.98294,6.378592,77.147338,17.48222,10.292122,8.892767,7.590842,sad
3.849887,2.927604,2.801377,3.219501,2.622934,1.868414,1.579195,2.868946,4.527851,5.836019,107.686416,17.681706,7.552903,4.390177,1.973975,1.924715,5.213091,2.49213,12.564577,10.224231,2.677047,2.582112,1.660453,2.688969,2.571712,happy
42.620864,13.515567,8.241331,11.551853,14.771719,18.939858,13.239592,8.28543,22.822204,30.498962,18.5967,4.697929,6.915301,9.674393,12.278173,6.529064,8.181047,5.472819,18.237143,33.48025,13.285048,8.831709,7.11338,10.328729,13.789816,happy
3.476367,1.250787,1.844023,1.955673,0.800223,1.88114,1.605699,1.154749,1.918274,2.787786,4.328084,1.792751,1.088242,2.450738,1.361443,1.421286,3.440135,4.619316,9.137253,10.011739,3.044197,1.284766,1.557509,2.284973,1.451975,happy
50.562806,6.9198,6.118313,5.974255,0.837065,1.300037,1.136126,3.739859,2.796519,1.732592,2.438387,1.368869,8.555186,8.213357,1.977202,4.143462,2.964411,6.413095,6.25651,3.155196,16.881779,6.836716,6.929172,5.955052,1.222395,sad
22.365056,2.517041,1.20992,0.925664,0.691462,2.484241,0.270304,0.935074,2.077948,1.554565,2.891915,2.54281,1.582013,1.897497,1.33233,2.586668,0.918366,2.227352,1.271052,3.126404,21.962885,8.026952,2.999805,1.6281,1.669537,sad
8.755437,2.777473,3.504678,2.534126,1.644277,2.754957,0.251425,1.662601,1.149632,1.734211,10.918382,3.564892,1.561579,3.133248,1.075332,5.79516,1.534939,2.112173,2.077542,2.436888,13.630173,3.449116,2.690429,1.748324,1.190346,sad
3.297995,0.637729,1.295388,4.212156,3.166425,1.656893,1.799209,2.573031,8.488343,8.677435,8.371665,4.210478,1.123098,7.021355,3.364651,3.707633,1.450215,3.412695,9.824426,16.587708,4.491185,1.488362,2.163928,5.30904,2.497756,happy
7.47039,3.315528,3.465247,1.768069,2.163228,0.688677,2.410634,0.931224,1.890438,4.937872,19.092403,5.957013,2.6721,1.595142,1.485038,1.541043,1.3846,4.649874,13.896597,11.286059,2.836152,2.188044,2.157212,1.765462,1.685632,happy
14.674259,3.334055,1.694444,1.199798,0.867181,1.127054,0.841721,0.987807,1.36287,0.738524,2.863115,2.230067,1.839561,1.010445,0.908126,3.473836,1.506351,1.045038,1.747145,3.469154,14.458602,1.930788,1.774124,1.034659,0.897002,sad
12.528611,2.759655,2.595952,6.239239,0.761231,1.496899,0.938712,1.82843,3.625484,0.954427,5.013211,2.636272,6.904248,7.220526,1.553001,2.711982,2.838738,3.995422,7.853476,3.006721,11.255349,6.044628,5.164783,6.134427,1.037901,sad
54.27298,12.261981,8.508613,3.563996,2.949088,2.362632,3.976382,2.010291,4.214459,8.221293,8.64722,4.194246,3.21941,3.580781,2.788062,2.737877,1.746053,7.397129,6.710251,20.416502,14.104493,4.722092,2.209566,1.788273,2.458259,happy
20.104372,5.362536,4.746304,2.594848,2.587258,4.070524,2.400236,4.777174,3.913007,5.364163,124.50855,16.189363,13.194124,6.735346,2.188564,7.959541,7.174491,14.372479,15.557986,11.199987,12.249538,3.646221,6.639855,2.242319,2.3837,happy
2.240832,1.383195,1.572983,3.91013,0.719699,1.344911,0.852739,0.928704,1.714021,0.922155,4.78668,2.297773,4.404675,3.124748,1.650793,2.734378,2.021554,3.802094,5.210874,3.144731,5.428613,2.666167,3.101106,3.849499,0.834078,sad
98.803205,15.61344,3.536926,2.940315,2.184199,14.712267,4.835808,1.922108,4.229393,2.573045,23.92353,5.202178,4.941643,4.033499,1.939584,33.36608,5.007759,4.811039,7.102503,6.549726,46.797605,12.240405,2.224902,4.33002,1.994914,happy
31.447086,4.617407,1.655859,1.468575,0.844664,4.168729,1.086446,1.569516,1.388071,1.688325,10.301212,1.804195,1.115643,2.183768,1.435513,3.585877,1.419675,1.208589,3.066305,3.404689,21.593948,3.412402,1.050819,2.180134,1.407909,sad
57.141615,19.611259,8.870465,1.697455,3.376916,2.197884,2.455638,2.239522,3.657469,8.084177,44.08435,10.68372,3.914518,2.421464,2.700103,2.850385,1.71375,5.956998,4.960003,16.277278,29.758352,10.703209,2.440595,1.761497,2.903519,happy
96.257073,17.538175,9.330474,3.846713,2.07998,2.327648,2.810406,2.785461,3.197571,2.964254,4.950605,2.674278,3.145395,3.006838,1.797955,21.550413,15.447879,9.833254,5.996887,8.993963,28.392405,10.080826,3.801125,3.146784,2.41308,happy
13.908849,3.046909,1.924127,1.546917,0.81815,1.624807,0.623412,1.239855,2.266936,1.880952,8.099852,1.461,2.220285,1.511631,1.140699,2.6731,2.437947,1.297094,1.674696,2.606743,9.520973,2.209311,1.61142,1.613558,1.178981,sad
10.118572,5.736772,2.177484,2.63192,6.910947,2.97358,2.834915,3.904491,5.797795,10.618815,42.07658,9.690684,2.163167,2.421287,4.273853,0.526338,1.981651,4.799728,11.428713,23.305622,5.074708,2.587253,1.81913,2.430944,5.845333,happy
18.900165,4.920137,3.50252,1.739999,2.534413,1.069371,2.194781,1.03741,2.097083,5.783195,17.881853,4.84583,2.405449,1.505361,1.775486,2.2801,0.824912,4.856842,11.982809,13.873139,7.00273,2.927815,1.878617,1.797358,2.131589,happy
6.733634,1.525261,1.360748,1.221665,0.619442,1.560473,0.515964,0.830185,1.067378,1.806436,4.906088,2.268116,4.233066,1.345111,1.266576,2.451661,1.527626,3.001006,1.703234,2.430588,4.139466,1.622928,3.248418,1.169908,1.564105,sad
30.322998,8.023356,2.289257,1.486023,1.20932,4.020816,1.619056,2.162313,1.521904,1.809761,7.187034,4.910388,3.155396,1.32508,1.120019,2.51863,3.552308,3.125841,8.600217,10.558856,11.877119,4.732299,1.818212,1.420276,1.29121,happy
3.318638,2.723809,3.371178,3.02598,2.183418,2.888402,2.066557,4.76352,5.819921,7.080869,12.773014,12.302897,4.576366,7.192167,2.776808,2.92085,3.917966,2.799587,4.246678,5.026876,5.696067,2.459628,1.040557,3.890265,2.196208,sad
22.112772,5.053794,0.819883,0.681045,1.397484,1.986408,1.283072,0.796042,1.116496,1.305867,6.515581,3.395653,1.506094,1.58373,0.721253,3.259966,2.54865,1.415979,1.202616,3.10552,9.294479,4.643167,2.251525,1.356057,1.61141,sad
18.588487,8.856568,1.942522,2.682259,2.44547,1.632473,0.835193,1.071724,1.891363,3.021104,3.230416,1.205965,1.517023,1.584655,1.031052,4.646032,3.556769,2.983437,3.13276,3.288087,9.712288,3.869784,2.0356,2.944161,2.974023,sad
44.047077,12.6916,2.567082,1.79466,3.096262,1.603328,2.063084,0.780525,2.617337,3.911913,1.047376,3.048071,2.386919,2.050465,1.992317,1.230298,2.726362,1.81358,8.807002,12.694453,15.809795,5.464882,2.382869,2.251563,2.576091,happy
175.472818,18.056315,7.25076,5.508794,3.92563,212.13786,50.187984,8.130608,11.873638,19.225054,207.188461,101.852339,23.161159,32.839883,10.573991,296.078707,73.598216,40.472449,29.665936,15.786114,105.172623,7.646721,3.523148,8.061079,11.747747,happy
3.610049,2.529866,3.628801,3.100824,0.918741,1.746606,1.356951,3.060906,2.726411,1.977699,4.954713,1.762685,2.234953,4.190252,1.207924,1.478136,1.957671,0.948439,4.242709,3.193819,2.571319,2.115067,3.211319,3.784529,1.25197,sad
56.089134,20.967718,14.357321,6.691119,2.382285,2.755994,2.243785,4.483201,4.620904,4.286515,2.8691,12.275374,21.966528,8.88705,2.533144,2.699833,21.892708,28.879261,13.558326,13.058204,21.31668,23.888837,17.93333,4.749591,2.153755,happy
68.317355,16.36268,2.351436,2.233592,1.167875,3.523123,1.774069,2.381939,1.602626,2.505453,3.741711,4.164549,1.563675,1.01425,1.36488,3.208391,4.220514,2.432524,5.52294,10.602968,46.26973,9.247485,2.175905,1.804421,1.399646,happy
23.129675,3.426567,2.73422,6.391616,0.792845,1.310687,0.803755,1.851207,4.112197,0.969931,4.916216,2.488113,6.637213,8.212314,1.442284,2.801069,2.52233,3.856143,7.513269,2.959404,13.715446,5.93768,5.152789,6.31553,1.07248,sad
6.360111,1.619627,0.619126,1.4796,1.546571,0.83031,1.594945,0.41798,2.152183,1.913405,3.50243,1.276153,0.782501,1.22648,1.470247,6.567551,4.229123,2.794551,1.535017,1.940287,6.654523,2.509422,1.503063,1.949214,2.71857,sad
14.42633,1.686577,1.562607,3.057935,1.691535,11.141901,0.989821,0.705584,3.104634,3.480255,26.059412,0.836186,1.476389,2.429818,0.872192,12.259881,1.575998,2.197567,2.149349,3.965682,19.364005,3.407915,1.30891,3.114025,1.710993,sad
65.098009,5.709084,3.755841,1.448021,0.889282,1.093663,0.878731,0.723289,1.937672,1.263243,5.090597,3.000985,1.003686,1.535628,0.933582,3.036201,0.98521,1.262516,3.391387,2.799555,30.268582,2.882284,2.036135,1.545802,0.865206,sad
