AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,Label
2.849836,3.189566,1.99267,0.954979,0.63767,1.972236,2.329122,1.149784,1.133168,0.759534,1.745603,2.260419,1.077747,0.457945,0.565393,2.765359,1.847705,2.221034,0.839323,1.034686,3.65631,0.869373,0.823215,0.655521,0.455058,happy
154.478963,22.586644,9.557767,2.475085,3.708731,122.294129,13.609571,9.447539,8.596512,16.093209,59.244534,8.658019,6.175373,4.783114,4.411084,32.49057,7.271217,9.935254,10.839979,9.399084,61.409447,12.234225,7.614221,2.92758,4.456504,happy
25.733602,4.028218,3.691582,0.953414,0.456916,5.09515,1.691631,2.381111,0.989615,0.594397,1.62795,1.320043,1.105799,3.066959,1.559096,19.353253,10.058996,5.789036,3.044306,1.330467,7.784095,3.892651,4.002474,2.077372,0.504879,sad
44.103932,12.987824,6.818391,5.33049,3.263454,1.673957,1.867327,3.371407,7.102739,6.778051,8.618539,2.054761,2.290484,2.702522,3.015403,4.914058,1.523097,2.956339,6.715669,11.633728,11.321837,2.868179,1.902181,2.648394,3.898546,happy
4.30858,14.01726,1.087734,1.281093,0.770687,5.883125,5.608697,1.804796,1.914303,1.09046,1.040819,3.460033,0.520283,1.310101,0.597732,1.117704,9.950289,2.943299,1.516943,0.860157,4.263558,19.712174,2.063657,1.619634,1.233888,happy
8.556773,10.085377,2.390813,1.43819,2.062953,4.998188,4.054124,1.216834,1.693197,1.765376,1.146038,0.677398,0.265757,0.536018,0.426193,4.294359,5.875609,1.71418,1.294259,1.146487,10.837338,11.799001,3.125124,0.933361,1.427292,happy
43.530037,10.316673,3.899312,1.982866,2.533502,3.103693,2.424494,2.383379,2.651514,3.529005,84.069476,20.703868,8.275098,4.410488,2.695171,3.423943,7.701574,7.541681,8.063683,10.888361,16.776501,7.486784,3.077565,2.715391,3.258139,happy
35.225283,15.492768,7.374708,2.742791,1.132838,0.846262,2.155107,1.54228,1.559488,1.736554,4.174369,7.455501,3.769938,1.830413,0.919433,2.812105,7.816756,6.173745,1.54412,3.473841,18.070516,13.949266,4.776231,2.292155,1.364621,sad
31.659788,9.828418,3.69547,1.808831,0.664344,3.090926,1.923955,0.910517,0.917194,0.607816,1.135443,0.462051,0.324638,0.517098,0.389323,1.567713,1.845124,0.772812,0.736751,0.416857,12.383125,3.999811,0.881586,2.325121,1.368288,sad
4.313978,2.231881,1.078429,1.219287,0.787874,4.97261,2.195934,1.742961,0.899103,1.042475,0.687995,1.682489,0.614582,0.40736,0.349139,0.998182,1.132427,0.475029,0.684689,0.582881,6.993036,2.754594,3.275576,1.575758,0.802513,sad
6.760598,2.071979,1.244234,0.956405,0.478587,1.061015,1.877753,0.841333,1.148526,0.499529,3.420645,6.611974,3.216478,1.033315,0.593352,1.016326,1.803941,0.63734,0.400074,0.288914,10.312023,3.879088,2.703175,1.32556,0.57445,sad
3.006106,0.704347,0.65741,0.455098,0.611207,1.123931,0.608398,1.902623,0.298918,0.68013,1.075547,2.524385,1.216188,0.386237,0.399494,2.106442,0.694201,2.262489,1.835811,1.170009,1.933125,1.437361,1.403482,0.851172,0.85374,sad
4.300521,1.664211,1.159778,0.917138,0.59193,3.483608,2.1132,2.076055,0.804109,0.719489,6.601761,2.899475,0.89336,1.774868,0.435403,0.943751,0.460857,0.966768,0.650994,0.413593,4.262645,1.349624,2.592004,1.550729,0.565505,happy
